Unnamed: 0,type,instruction,input,ref
0,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你吃饭了吗？
B: 吃过了，你呢？","ก: กินข้าวหรือยัง?
ข: กินแล้ว แล้วเธอล่ะ?"
1,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 今天天气很好，我们去散步吧。
B: 好的，我正好也想出去走走。","ก: วันนี้อากาศดี ไปเดินเล่นกันเถอะ
ข: ได้เลย ฉันก็อยากออกไปเดินอยู่พอดี"
2,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你周末有什么计划？
B: 想在家休息，你呢？","ก: เสาร์อาทิตย์นี้มีแผนอะไรไหม?
ข: อยากพักผ่อนอยู่บ้าน แล้วเธอล่ะ?"
3,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢看电影吗？
B: 喜欢，尤其是科幻片。","ก: คุณชอบดูหนังไหม?
ข: ชอบ โดยเฉพาะหนังไซไฟ"
4,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你最近怎么样？
B: 还不错，就是工作有点忙。","ก: ช่วงนี้เป็นยังไงบ้าง?
ข: ก็โอเคนะ แค่ช่วงนี้งานยุ่งหน่อย"
5,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢什么运动？
B: 我喜欢打篮球，你呢？","ก: คุณชอบกีฬาอะไร?
ข: ฉันชอบเล่นบาสเกตบอล แล้วเธอล่ะ?"
6,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你会说英语吗？
B: 会一点，但不太流利。","ก: คุณพูดภาษาอังกฤษได้ไหม?
ข: พูดได้นิดหน่อย แต่ไม่ค่อยคล่อง"
7,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢旅行吗？
B: 喜欢，尤其是去海边。","ก: คุณชอบท่องเที่ยวไหม?
ข: ชอบ โดยเฉพาะไปทะเล"
8,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢听什么音乐？
B: 我喜欢流行音乐，你呢？","ก: คุณชอบฟังเพลงแนวไหน?
ข: ฉันชอบเพลงป็อป แล้วเธอล่ะ?"
9,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢喝茶还是咖啡？
B: 我喜欢喝茶，尤其是绿茶。","ก: คุณชอบดื่มชาหรือกาแฟ?
ข: ฉันชอบดื่มชา โดยเฉพาะชาเขียว"
10,Sentence-20.json,Translate this sentence from Chinese to Thai:,我喜欢学习新语言。,ฉันชอบเรียนรู้ภาษาใหม่ๆ
11,Sentence-20.json,Translate this sentence from Chinese to Thai:,今天天气很好，我们去公园吧。,วันนี้อากาศดี เราไปสวนสาธารณะกันเถอะ
12,Sentence-20.json,Translate this sentence from Chinese to Thai:,请问最近的地铁站在哪里？,ขอโทษครับ สถานีรถไฟใต้ดินที่ใกล้ที่สุดอยู่ที่ไหน?
13,Sentence-20.json,Translate this sentence from Chinese to Thai:,我正在学习如何做泰国菜。,ฉันกำลังเรียนรู้วิธีทำอาหารไทย
14,Sentence-20.json,Translate this sentence from Chinese to Thai:,你喜欢听什么类型的音乐？,คุณชอบฟังเพลงประเภทไหน?
15,Sentence-20.json,Translate this sentence from Chinese to Thai:,这个周末我们打算去海边度假。,สุดสัปดาห์นี้เราวางแผนจะไปพักผ่อนที่ชายทะเล
16,Sentence-20.json,Translate this sentence from Chinese to Thai:,我每天早上都会跑步锻炼身体。,ฉันวิ่งออกกำลังกายทุกเช้า
17,Sentence-20.json,Translate this sentence from Chinese to Thai:,请帮我推荐一些好看的电影。,ช่วยแนะนำหนังดีๆ ให้ฉันหน่อย
18,Sentence-20.json,Translate this sentence from Chinese to Thai:,我想报名参加一个泰语学习班。,ฉันอยากสมัครเรียนคอร์สภาษาไทย
19,Sentence-20.json,Translate this sentence from Chinese to Thai:,你觉得这本书怎么样？,คุณคิดว่า หนังสือเล่มนี้เป็นอย่างไร?
20,Sentence-20.json,Translate this sentence from Thai to Chinese:,คุณคิดว่า หนังสือเล่มนี้เป็นอย่างไร?,你觉得这本书怎么样？
21,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันอยากสมัครเรียนคอร์สภาษาไทย,我想报名参加一个泰语学习班。
22,Sentence-20.json,Translate this sentence from Thai to Chinese:,ช่วยแนะนำหนังดีๆ ให้ฉันหน่อย,请帮我推荐一些好看的电影。
23,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันวิ่งออกกำลังกายทุกเช้า,我每天早上都会跑步锻炼身体。
24,Sentence-20.json,Translate this sentence from Thai to Chinese:,สุดสัปดาห์นี้เราวางแผนจะไปพักผ่อนที่ชายทะเล,这个周末我们打算去海边度假。
25,Sentence-20.json,Translate this sentence from Thai to Chinese:,คุณชอบฟังเพลงประเภทไหน?,你喜欢听什么类型的音乐？
26,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันกำลังเรียนรู้วิธีทำอาหารไทย,我正在学习如何做泰国菜。
27,Sentence-20.json,Translate this sentence from Thai to Chinese:,ขอโทษครับ สถานีรถไฟใต้ดินที่ใกล้ที่สุดอยู่ที่ไหน?,请问最近的地铁站在哪里？
28,Sentence-20.json,Translate this sentence from Thai to Chinese:,วันนี้อากาศดี เราไปสวนสาธารณะกันเถอะ,今天天气很好，我们去公园吧。
29,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันชอบเรียนรู้ภาษาใหม่ๆ,我喜欢学习新语言。
30,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""login"": ""登录"", ""logout"": ""退出"", ""welcome"": ""欢迎 {username}""}","{""login"": ""เข้าสู่ระบบ"", ""logout"": ""ออกจากระบบ"", ""welcome"": ""ยินดีต้อนรับ {username}""}"
31,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""submit"": ""提交"", ""cancel"": ""取消"", ""retry"": ""重试""}","{""submit"": ""ยืนยัน"", ""cancel"": ""ยกเลิก"", ""retry"": ""ลองใหม่""}"
32,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""settings"": ""设置"", ""language"": ""语言"", ""notifications"": ""通知""}","{""settings"": ""การตั้งค่า"", ""language"": ""ภาษา"", ""notifications"": ""การแจ้งเตือน""}"
33,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""profile"": ""个人资料"", ""edit"": ""编辑"", ""save"": ""保存""}","{""profile"": ""โปรไฟล์ส่วนตัว"", ""edit"": ""แก้ไข"", ""save"": ""บันทึก""}"
34,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""search"": ""搜索"", ""filter"": ""筛选"", ""sort"": ""排序""}","{""search"": ""ค้นหา"", ""filter"": ""กรอง"", ""sort"": ""จัดเรียง""}"
35,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""home"": ""首页"", ""back"": ""返回"", ""next"": ""下一步""}","{""home"": ""หน้าแรก"", ""back"": ""ย้อนกลับ"", ""next"": ""ถัดไป""}"
36,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""error"": ""错误"", ""success"": ""成功"", ""loading"": ""加载中...""}","{""error"": ""ข้อผิดพลาด"", ""success"": ""สำเร็จ"", ""loading"": ""กำลังโหลด...""}"
